,,,,,,,,,,,CRICETIDAE,,,,,SCIURIDAE,,,,,,,,,,,,,,,,,,,,,,,,GLIRIDAE,,,,,,,,,,,,,,EOMYIDAE,,,,,,,,,
LOCAL BIOZONE,NUMERICAL AGE in MA,LOCCODE,D.franconicus,D.koenigswaldi,D.larteti,D.hispanicus,D.moralesi,D.jordensi,D.lacombai,Melissiodon,Eumyarion,M.collongensis,M.pepei,M.gersii,Cricetodon,H. rubricati,Heteroxerus n. sp. 1,H. cf rubricati,H. grivensis,Heteroxerus n. sp. 2,Atlantoxerus blacki,Palaeosciurus sp.,Spermophilinus besana,Ratufa ?,Petauristinae,Peridyromys murinus,Peridyromys darocensis,P.darocensis-sondaari,P.sondaari,Praearmantomys crusafonti,Arm. Jasperi,Arm.aragonensis,Arm.tricristatus,Ps.ibericus,Ps.simplicidens,Ps.julii,Ps.robustus,Ps.johannae,Ps.michieli,Prodryomys ,Microd.legidensis,Microd.koenigswladi,Microd.n.sp.,Microd.complicatus,Tempestia ovilis,Muscardinus thaleri,Myoglis sp.,Paraglirulus werenfelsi,Glirudinus modestus,Glirudinus undosus,Glirudinus sp.,Ligerimys antiquus,Ligerimys cf. fahlbuschi,Ligerimys palomae,Ligerimys florancei,Ligerimys ellipticus,Keramidomys,N M12,N of SPECIES,% DRY RODENTS,% CATHOLIC,% WET RODENTS,LOCCODE
E,13.93,LUM19,,,4.0,,,,,,,66.1,,,2.0,,,1.0,18.1,2.0,,,,,,,,,,,,,4.7,,,,,,,,2.1,,,,,,,,,,,,,,,,,189,8,97.9,2.1,,LUM19
,13.94,LP4B,,,28.9,,,,0.2,,,47.9,,,1.0,,,0.2,13.0,1.0,,,,,,,,,,,,,0.8,,,,,,0.8,,6.0,,,,0.2,,,,,,,,,,,,,483,11,93.2,6,0.8,LP4B
,13.96,LP4A,,,32.4,,,,,,,39.6,,1.8,0.9,,,1.9,14.1,0.0,,,,,,,,,,,,,0.9,,,,,,,,7.6,,,,,,,,,,,,,,,,,82,10,91.6,8.4,,LP4A
,13.97,LUM14,,,60.2,,,,,,,23.1,,,,,,2.9,5.8,,,,,,,,,,,,,,0.6,,1.4,,,,,,4.1,,,1.8,,,,,,,,,,,,,,493,8,94.1,4.1,1.8,LUM14
,13.98,LUM18,,,49.1,,,,,,,32.1,,,,,,9.0,2.3,,,,,,,,,,,,,,0.7,,,,,,,,6.8,,,,,,,,,,,,,,,,,132,6,93.2,6.8,,LUM18
,13.99,LUM17,,,25.0,,,,,,,49.0,,,,,,9.2,4.1,,,,,,,,,,,,,,1.4,,0.7,,,,,,4.9,,,,0.7,,,4.9,,,,,,,,,,108,9,90.2,4.9,4.9,LUM17
,14.01,LUM12,,,17.8,,,,,,,49.6,,,,,,13.1,0.8,,,,,,,,,,,,,,0.3,,0.3,,,,,,9.6,,,7.7,0.8,,,,,,,,,,,,,626,9,82.5,9.7,7.8,LUM12
,14.02,LUM16,,,26.0,,,,,,,46.0,,,0.3,,,17.6,2.0,,,,,,,,,,,,,,,,2.3,,,,,,3.2,,,1.5,1.1,,,,,,,,,,,,,341,9,95.3,3.2,1.5,LUM16
,14.04,LUM11,,,25.2,,,,,,,50.4,,,2.0,,,14.3,0.8,,,,,,,,,,,,,,0.1,,1.6,,,,,,4.2,,,0.5,0.8,,,,,,,,,,,,,373,10,95.3,4.2,0.5,LUM11
Dd,14.07,LUM10,,,17.4,,,,1.0,,,65.8,,,,,,10.1,,,,,,,,,,,,,,,,,1.9,,,,,,1.9,,,1.0,1.0,,,,,,,,,,,,,113,8,97,2,1,LUM10
,14.16,LUM9,,,31.5,,,,2.0,,,40.4,,,,,,10.1,,,,,,,,,,,,,,,,,0.5,,,,2.1,,5.9,7.5,,,,,,,,,,,,,,,,183,8,84.3,13.6,2.1,LUM9
,14.18,LUM8,,,47.2,,,,3.0,,,32.1,,,,,,8.1,,,,,,,0.3,,,,,,,,1.8,0.2,1.8,,,,2.3,,2.3,0.8,,,,,,,,,,,,,,,,396,11,94.3,3.1,2.6,LUM8
,14.19,LUM7,,,25.7,,,,0.6,,,52.4,,,,,,13.1,,,,,,,,,,,,,,,0.6,,0.8,,,,,,1.3,4.9,,,,,,,,,,,,,,,0.6,163,9,93.1,6.3,0.6,LUM7
,14.23,VA7G,,67.5,,,,,3.0,,,13.9,,,,,,6.9,,,,,,,,,,,,,,,,,2.9,,,,,,,4.9,,,,,,,,,,,,,,,1.0,102,7,94.1,4.9,1,VA7G
,14.26,VA7F,,49.6,,,,,3.0,,,29.4,,,,,,7.0,0.7,,,,,,,,,,,,,,,0.7,2.9,,,,,,,6.7,,,,,,,,,,,,,,,,272,8,93.4,6.6,,VA7F
,14.29,VA7E,,69.1,,,,,7.0,,,12.0,,,,,,6.6,,,,,,,,,,,,,,,,,2.5,,,,,,0.2,2.6,,,,,,,,,,,,,,,,964,7,97.2,2.8,,VA7E
,14.30,LUM5,,52.5,,,,,,,,22.8,,,,,,1.3,,,,,,,,,,,,,,,,,,,,0.6,,,,22.9,,,,,,,,,,,,,,,,155,5,76.3,23.1,0.6,LUM5
,14.32,LUM4,,62.4,,,,,1.0,,,20.1,,,,,,3.1,,,,,,,,,,,,,,,0.2,,0.8,,,1.7,,,,10.7,,,,,,,,,,,,,,,,470,8,87.7,10.6,1.7,LUM4
,14.33,VA7D,,65.0,,,,,1.0,,,18.7,,,,,,5.3,,,,,,,,,,,,,,,,,0.5,,,1.6,,,,7.9,,,,,,,,,,,,,,,,184,7,90.4,8,1.6,VA7D
,14.37,LUM3,,78.7,,,,,1.0,,,6.0,,,,,,10.3,,,,,,,,,,,,,,,0.3,0.1,0.8,,,,,,,2.9,,,,,,,,,,,,,,,,1124,8,97.1,2.9,,LUM3
,14.39,VR11,,66.1,,,,,,,,12.4,,,,,,3.1,,,,,,,,,,,,,,,1.1,,1.1,,,,,,,16.1,,,,,,,,,,,,,,,,345,6,84.4,15.6,,VR11
,14.40,VA6B,,73.4,,,,,,,,12.1,,,,,,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,13.6,,,,,,,,,,,,,,,,177,5,86.5,13.5,,VA6B
,14.41,LUM2,,52.1,,,,,,,,31.7,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.6,13.6,,,,,,,,,,,,,,,,166,5,86.1,13.9,,LUM2
,14.43,LUM1,,50.4,,,,,1.0,,,34.6,,,,,,4.0,,,,,,,,,,,,,,,0.6,,0.6,,,,,,0.6,8.2,,,,,,,,,,,,,,,,168,8,91.1,8.9,,LUM1
,14.52,VA3F,,22.2,,,,,,,,40.4,,,,,,12.1,,,,,,,,,,,,,,,1.8,0.3,18.5,,,,,,,4.7,,,,,,,,,,,,,,,,272,7,95.3,4.7,,VA3F
,14.55,VA3E,,25.0,,,,,,,,45.9,,,,,,19.0,,,,,,,,,,,,,,,2.0,,4.5,,,,,,,3.3,,,,0.4,,,,,,,,,,,,443,7,96.3,3.3,0.4,VA3E
,14.56,VA6A,,52.3,,,,,,,,27.6,,,,,,3.9,,,,,,,,,,,,,,,1.7,0.3,1.0,,,,,,,13.1,,,,,,,,,,,,,,,,775,7,86.7,13.3,,VA6A
,14.58,VA7C,,83.8,,,,,1.0,,,9.1,,,,,,2.0,,,,,,,,,,,,,,,0.2,0.1,0.2,,,,,,0.2,3.3,,,,,,,,,,,,,,,,1536,9,96.5,3.5,,VA7C
,14.62,VA7B,,64.1,,,,2.0,,,,17.0,,,,,,7.0,,,,,,,,,,,,,,0.1,,0.4,1.3,,,,,,,8.1,,,,,,,,,,,,,,,,568,8,91.9,8.1,,VA7B
,14.64,VA1A,,26.7,,,,1.0,,,,49.4,,,,,,3.0,,,,,,,,,,,,,,3.1,,5.6,,,,,,,,11.3,,,,,,,,,,,,,,,,189,7,88.6,11.4,,VA1A
,14.65,VA7A,,28.9,,,,4.0,,,,45.8,,,,,,11.0,,,,,,,,,,,,,,1.2,,0.8,0.4,,,,,,,8.0,,,,,,,,,,,,,,,,237,8,92,8,,VA7A
,14.69,VA8B,,62.8,,,,3.3,,,,9.8,,,,,,3.3,,,,,,,,,,,,,,1.1,,0.3,,,,,,,9.5,9.8,,,,0.3,,,,,,,,,,,,224,9,76,23.6,0.4,VA8B
,14.71,VA8C,,43.7,,,,6.0,,,,27.8,,,,,,6.0,,,,,,,,,,,,,,0.8,,,,,,,,,,15.9,,,,,,,,,,,,,,,,127,6,84,16,,VA8C
,14.73,VR8C,,25.4,,,,,,,,47.6,,,,,,10.6,,,,,,,,,,,,,,2.1,,0.5,4.2,,,,,,,9.5,,,,,,,,,,,,,,,,474,7,91,9,,VR8C
,14.75,VR8B,,19.8,,,,6.9,,,0.2,49.6,,,,,,6.9,,,,,,,,,,,,,,1.0,,0.5,2.0,,,,,,1.5,,11.4,,,,,,,,0.2,,,,,,,462,11,86.6,13,0.4,VR8B
,14.82,VR7,22.1,,,,,10.1,,,,29.5,,,,,,8.7,,,,,,,,,,,,,,3.5,,0.2,4.6,,,,,,0.9,,20.3,,,,,,,,,,,,,,,1160,9,53.4,22.6,24,VR7
Dc,14.83,VA3D,,,,,,12.9,,,,63.4,,,,,,8.7,,,,,,,,,,,,,,1.5,,,9.9,,,,,,1.3,,2.4,,,,,,,,,,,,,,,322,7,96.3,3.7,,VA3D
,14.85,VA3B,0.7,,,,,10.1,,,,41.2,,,,,,25.3,,,0.2,,,,,,,,,,,2.7,,0.2,6.0,,,,,,0.4,13.2,,,,,,,,,,,,,,,,708,10,85.8,13.5,0.7,VA3B
,15.20,VA11,38.4,,,,,3.0,,,,43.4,,,,,,4.4,,,1.1,,,,,,,,,,,0.8,,,2.0,,,,,,1.1,,5.7,,,,,,,,,,,,,,,129,9,55.3,6.7,38,VA11
,15.25,VR6,41.4,,,,,1.0,,,,41.4,,,,,,9.0,,,,,,,,,,,,,,0.4,,0.4,4.1,,,,,,,,2.3,,,,,,,,,,,,,,,468,8,57.8,2.2,40,VR6
,15.32,VR5,31.2,,,,,6.4,,,,26.6,,,,,,23.3,,,,,5.8,,,,,,,,,0.4,,,1.8,,,,,,,,4.4,,,,,,,,,,,,,,,521,8,61.2,4.8,34,VR5
,15.50,VL4B,,,,,,22.0,,,,33.4,,,,,,10.2,,,,,,,,,,,,,,5.6,,,16.2,,,,,,4.6,,7.9,,,,,,,,,,,,,,,101,7,86.9,13.1,,VL4B
,15.51,VL4A,,,,,,18.8,,,,23.7,,,,,,16.5,,,0.3,,,,,,,,,,0.1,4.3,,0.2,27.7,,,,,,0.8,,7.6,,,,,,,,,,,,,,,1433,10,91.5,8.5,,VL4A
Db,15.70,VA8A,17.5,,,,,16.6,,,,3.9,25.3,,,,,11.5,,,1.0,,1.0,,,,,,,,,5.1,,5.7,8.8,,,,,,1.9,1.9,,,,,,,,,,,,,,,,770,12,78.2,3.8,18,VA8A
,15.85,FTE4,13.8,,,,11.8,,,,11.8,13.8,15.8,,,,,18.9,,,,,,,,,,,,,,0.3,,0.6,0.3,,,,,4.1,8.4,0.3,,,,,,,,,,,,,,,,308,12,61,8.8,30.2,FTE4
,15.87,COL-D,22.2,,,,22.2,,,,5.0,12.1,5.0,,,,0.0,14.2,,,,,,,,,,,0.1,,,0.6,,7.8,3.0,,,,,0.2,7.6,,,,,,,,,,,,,,,,,1987,13,65.1,7.5,27.2,COL-D
Da,15.89,COL-C,1.0,,,,30.1,,,,11.0,13.1,,,,,21.0,,,,,,,,0.1,,,,,,,0.3,,5.0,4.0,,,,,3.0,11.3,,,,,,,,,,,,,,,,,2435,11,83.6,11.3,15.1,COL-C
,15.91,COL-B,,,,,68.3,,,,,13.1,,,,,3.4,,,,1.1,,,,,,,,,,,,,0.5,1.0,,,,,,12.6,,,,,,,,,,,,,,,,,176,7,87.5,12.5,,COL-B
,15.92,FTE3,7.0,,,,23.0,,,,18.0,15.0,,,,,9.5,,,,,,,,,,,,3.4,,,0.3,,0.8,5.0,,,,,,18.2,,,,,,,,,,,,,,,,,347,10,53.4,18.2,28.4,FTE3
,15.93,FTE2,0.9,,,,36.1,,,,6.0,14.0,,,,,9.9,,,,,,,,,,,,2.3,,,0.3,,1.7,8.0,,,,,,20.7,,,,,,,,,,,,,,,,,342,10,70.1,20.7,9.2,FTE2
,15.95,OR9,1.2,,,,26.9,,,,8.0,33.9,,,,,10.3,,,,,,0.3,,,0.3,,,1.0,,,0.8,,6.0,2.0,,,,,,9.3,,,,,,,,,,,,,,,,,432,12,80.5,9.3,10.2,OR9
,15.96,VR2B,8.0,,,,28.9,,,,13.0,11.0,,,,,10.8,,,,,,,,,,,,5.0,,,0.5,,2.0,1.0,,,,,0.5,19.4,,,,,,,,,,,,,,,,,435,11,54,19.5,26.5,VR2B
,15.97,COL-A,,,,,26.8,,,,4.0,29.8,,,,,13.1,,,,,,,,,,,,2.6,,,0.7,,5.0,5.0,,,,,,12.4,,,,,,,,,,,,,,,0.7,,151,10,80.2,12.5,7.3,COL-A
C,15.98,VR2A,,,,,13.2,,,,0.6,27.5,,,,0.6,,,,,3.4,,,,,,,3.1,,,,,,2.2,14.3,,0.6,,,0.6,9.8,,,,,,,,,,,,,,,24.3,,191,12,65.2,8.9,25.9,VR2A
,15.99,OR8,,,,,1.8,,,,0.2,26.7,,,,7.6,,,,,,,0.2,,,,,1.7,,,,0.9,,1.8,11.0,,,,,,17.2,,,,,,,,,,,,,,,30.8,,496,11,45.8,18.7,35.5,OR8
,16.00,FTE1,,,,,6.9,,,,,20.7,,,,3.1,,,,,,,,,,,,,,,,,,7.9,2.0,,,,,,12.3,,,,,,,,,,,,,,,47.2,,101,7,39.6,12.5,47.9,FTE1
,16.02,OR5,4.0,,,,4.0,,,,2.7,13.9,,,,2.1,,,,,0.4,,0.2,,,,,2.1,,,,0.6,,2.0,15.9,,,,,,12.1,,,,,,,,,,,,,,,40.0,,488,13,38.9,12.1,49,OR5
,16.13,VR3,,,,,28.0,,,,,18.0,,,,0.6,,,,,3.0,,,,,1.0,,,,,0.2,0.2,,4.0,9.0,0.5,,,,,10.2,,,,,,,,,,,,,,,25.3,,633,12,64.5,10.2,25.3,VR3
,16.14,VR1A,0.3,,,,17.8,,,,1.3,15.8,,,,0.9,,,,,1.9,,0.2,,,1.0,,,,,,0.1,,3.0,4.9,0.1,3.2,,,,12.2,,,,,,,,0.1,,,,,,,37.3,,1799,16,48.3,12.3,39.4,VR1A
,16.15,VR4BB,0.8,,,,28.0,,,,3.3,10.0,,,,1.1,,,,,1.0,,0.1,,,2.0,,,,,,0.1,,5.0,9.0,0.1,,,,,12.3,,,,,,,,,,,,,,,27.1,,1463,14,56.5,12.3,31.2,VR4BB
,16.16,VR4B,,,,,13.0,,,,2.1,10.0,,,,0.7,,,,,0.3,,0.4,,,1.0,,,,,,0.3,,1.0,4.0,0.7,1.4,,,,18.5,,,,,,,,,,,,,,,46.7,,280,14,32.7,18.5,48.8,VR4B
,16.18,VR4A,0.1,,,,20.1,,,,4.4,13.4,,,,0.9,,,,,1.9,,0.4,,0.1,1.9,,,,,,0.3,,1.0,4.8,0.1,0.9,,,,13.8,,,,,,,,,,,,,,,36.1,,1610,16,43,14.5,42.5,VR4A
,16.32,OR4A,,,,16.1,,,,,,37.2,,,,2.7,,,,,,,,,,7.0,,,,,,4.7,,3.0,9.0,8.0,,,,,2.0,,,,,,,,,,,,,,,10.2,,146,10,87.9,2,10.1,OR4A
,16.35,SR3,,,,13.1,,,,,,4.0,,,,1.0,,,,,1.0,,,,,4.0,,,,,1.3,3.7,,8.1,14.1,11.1,3.4,,,,5.6,,,,,,,,,0.3,,,,,,29.1,,617,14,65.4,5.5,29.1,SR3
,16.51,ART,,,,7.4,,,,,,28.8,,,,3.9,,,,,0.1,,,,,14.9,,,,17.7,1.9,0.9,,8.4,3.7,1.9,2.5,,,,7.4,,,,,,,,,,,,,,0.5,,,1935,14,91.5,8,0.5,ART
B,16.64,VL2A,,,,27.5,,,,,,,,,,4.7,,,,,0.4,,0.4,,,11.8,,1.4,,,0.4,7.3,,5.9,10.8,3.9,2.2,,,,4.7,,,,,,,,3.0,,,,,,15.7,,,229,15,74.7,4.8,20.5,VL2A
,16.65,OR3,,,,23.8,,,,,,,,,,6.8,,,,,1.0,,,,,30.0,,0.8,,6.3,,,,3.8,12.5,,,,,,4.3,,,,,,,,2.1,,,,,,8.8,,,119,11,87.3,3.4,9.3,OR3
,16.66,SR5,,,,11.0,,,,,,,,,,2.9,,,,,5.7,,,,,13.6,,,,,0.7,4.6,,2.5,26.3,,,,,,7.9,,,,,,,,11.2,,,,,,13.6,,,128,11,61.5,9.3,29.2,SR5
,16.67,SR2,,,,13.0,,,,,,,,,,3.1,,,,,1.3,,,,,20.0,,,,25.0,1.8,,,10.0,2.0,2.0,10.7,,,,3.8,,,,,,,,,,,,,7.3,,,,869,12,88.9,3.8,7.3,SR2
,16.70,SAM,,,,12.6,,,,,,,,,,3.0,,,,,1.4,,,,,18.8,,,,,0.2,4.4,,4.2,17.8,2.1,,,,,4.2,,,,,,,,15.1,,,,,16.2,,,,456,12,66.1,4,29.9,SAM
,16.73,OR2,,,,10.0,,,,,,,,,,2.4,,,,,0.7,,,,,18.0,,,,,,3.1,,8.0,16.0,,3.5,,,,9.8,,,,,,,,11.2,,,,,17.5,,,,286,11,61.5,9.8,28.7,OR2
,16.76,OR1,,,,6.0,,,,,,,,,,5.7,,,,,2.3,,,,,17.1,,,,37.3,2.3,,,15.1,8.1,,0.6,,,,4.6,,,,,,,,,,,,,0.8,,,,175,11,94.6,4.6,0.8,OR1
,16.78,SR1,,,,9.9,,,,,,,,,,3.0,,,,,2.1,,,,,24.7,,,,16.8,2.1,0.8,,9.9,6.9,2.3,5.1,,,,2.9,,,,,,0.1,,3.2,,,,,9.4,,0.9,,926,16,83.4,2.9,13.7,SR1
A,17.01,SR4B,,,,1.0,,,,5.0,,,,,,27.8,,,,,,,,1.2,,10.9,,,,,,1.2,,6.0,24.8,,1.2,,,,2.5,,,,,,,,1.2,,,15.8,1.6,,,,,80,13,73.8,2.5,23.7,SR4B
,17.02,SR4A,,,,0.4,,,,0.8,,,,,,11.0,,,,,,0.5,,0.5,,7.1,7.1,,,,0.4,2.5,,12.1,27.2,0.9,7.6,,,,2.3,,,,,,,,3.2,,,14.8,1.5,,,,,1100,17,69.5,2.3,28.2,SR4A
